,user_id,timestamp,landing_page,converted,group
281655,918193,2017-01-03 13:42:27.285433,new_page,1,treatment
7271,679658,2017-01-20 02:00:54.448676,new_page,1,treatment
269760,815158,2017-01-16 05:11:33.823264,new_page,1,treatment
158882,857307,2017-01-22 08:58:50.687626,new_page,1,treatment
153958,716896,2017-01-15 17:59:03.065352,new_page,1,treatment
18666,925173,2017-01-12 11:39:49.447296,new_page,1,treatment
38617,941503,2017-01-18 16:44:58.005047,new_page,1,treatment
147213,645261,2017-01-08 00:58:12.278398,new_page,1,treatment
224660,768393,2017-01-14 19:47:37.435814,new_page,1,treatment
230668,824196,2017-01-18 17:56:22.177764,new_page,1,treatment
185862,886816,2017-01-03 00:59:42.176346,new_page,1,treatment
123287,633390,2017-01-03 05:54:56.129638,new_page,1,treatment
61881,858156,2017-01-20 05:04:44.653637,new_page,1,treatment
156360,645186,2017-01-20 21:21:30.657646,new_page,1,treatment
105841,769229,2017-01-05 10:05:58.011647,new_page,1,treatment
169154,769596,2017-01-22 15:28:35.447429,new_page,1,treatment
228727,630489,2017-01-21 23:56:07.806698,new_page,1,treatment
111334,698985,2017-01-20 00:31:08.106135,new_page,1,treatment
227728,782099,2017-01-16 22:49:39.475598,new_page,1,treatment
206699,757827,2017-01-08 06:25:22.830949,new_page,1,treatment
118457,712685,2017-01-09 04:28:38.171851,new_page,1,treatment
12537,823805,2017-01-22 22:31:49.564449,new_page,1,treatment
83401,890544,2017-01-05 03:43:45.391116,new_page,1,treatment
223253,836566,2017-01-15 22:01:32.096424,new_page,1,treatment
3909,706621,2017-01-07 03:51:24.507472,new_page,1,treatment
51277,802738,2017-01-11 20:35:28.909675,new_page,1,treatment
122141,691794,2017-01-21 13:02:23.045590,new_page,1,treatment
291696,736217,2017-01-20 23:35:01.069664,new_page,1,treatment
110475,934302,2017-01-05 06:08:31.486655,new_page,1,treatment
49002,767933,2017-01-04 10:20:21.518592,new_page,1,treatment
118621,843022,2017-01-23 02:58:46.776478,new_page,1,treatment
24054,759598,2017-01-17 02:49:11.583066,new_page,1,treatment
14251,856743,2017-01-19 14:24:29.116981,new_page,1,treatment
133958,696307,2017-01-07 08:47:55.042071,new_page,1,treatment
24007,861711,2017-01-23 08:41:11.939073,new_page,1,treatment
160512,669175,2017-01-10 01:48:25.432175,new_page,1,treatment
56134,793670,2017-01-10 06:58:07.398086,new_page,1,treatment
51075,686587,2017-01-16 22:22:52.413566,new_page,1,treatment
138657,895294,2017-01-23 16:33:05.934481,new_page,1,treatment
147216,637059,2017-01-17 18:26:43.838366,new_page,1,treatment
218672,765981,2017-01-04 04:34:39.259630,new_page,1,treatment
58330,675737,2017-01-18 08:52:26.514724,new_page,1,treatment
101880,644846,2017-01-16 00:56:09.081049,old_page,1,treatment
14017,703327,2017-01-22 10:19:36.634113,new_page,1,treatment
97443,826689,2017-01-09 21:12:52.652603,new_page,1,treatment
29004,830779,2017-01-16 10:47:18.853429,new_page,1,treatment
218380,752717,2017-01-15 15:08:19.001770,new_page,1,treatment
172595,913627,2017-01-24 07:42:29.803854,new_page,1,treatment
205758,804327,2017-01-06 07:29:26.022490,new_page,1,treatment
244576,695561,2017-01-22 19:28:41.028966,new_page,1,treatment
196639,738202,2017-01-14 19:46:26.926733,new_page,1,treatment
62270,709009,2017-01-17 11:47:50.066636,new_page,1,treatment
57296,761936,2017-01-12 11:58:49.926554,new_page,1,treatment
132189,884919,2017-01-09 21:30:17.254547,new_page,1,treatment
238691,928115,2017-01-13 15:24:55.169123,new_page,1,treatment
246268,710307,2017-01-09 15:06:56.783118,new_page,1,treatment
268961,812459,2017-01-14 17:18:03.515979,new_page,1,treatment
193238,836378,2017-01-22 08:02:33.354669,new_page,1,treatment
260651,688483,2017-01-08 04:29:15.049190,new_page,1,treatment
273345,771921,2017-01-15 22:31:22.549682,new_page,1,treatment
82026,910243,2017-01-03 15:17:45.517558,new_page,1,treatment
54697,689995,2017-01-07 17:57:28.192472,new_page,1,treatment
274756,753496,2017-01-17 12:19:05.700748,new_page,1,treatment
15868,745106,2017-01-24 06:09:58.931707,new_page,1,treatment
56075,763959,2017-01-17 22:51:52.392081,new_page,1,treatment
28527,829667,2017-01-23 02:00:31.063781,new_page,1,treatment
62525,742826,2017-01-03 07:11:11.534005,new_page,1,treatment
149929,646302,2017-01-11 07:20:27.554429,new_page,1,treatment
38406,941020,2017-01-14 00:19:53.871785,new_page,1,treatment
283198,938965,2017-01-22 04:47:27.287381,new_page,1,treatment
24123,842042,2017-01-10 11:05:05.666571,old_page,1,treatment
60204,945262,2017-01-13 12:39:41.520155,new_page,1,treatment
206893,812665,2017-01-08 15:29:29.391868,new_page,1,treatment
18700,642523,2017-01-13 04:06:32.637845,new_page,1,treatment
60170,855444,2017-01-23 11:19:23.347425,new_page,1,treatment
214930,672827,2017-01-21 08:55:53.005022,new_page,1,treatment
99307,656391,2017-01-17 13:46:51.846444,new_page,1,treatment
142962,736896,2017-01-06 12:09:04.272400,new_page,1,treatment
58821,631902,2017-01-17 01:05:51.010437,new_page,1,treatment
175030,866545,2017-01-16 01:35:44.209519,new_page,1,treatment
32462,892059,2017-01-23 02:14:17.781097,new_page,1,treatment
93567,697084,2017-01-08 03:21:01.628626,new_page,1,treatment
237916,916994,2017-01-20 15:08:16.643303,new_page,1,treatment
67388,914775,2017-01-04 08:01:39.509634,new_page,1,treatment
93183,905012,2017-01-13 07:31:53.302437,new_page,1,treatment
290742,761327,2017-01-10 05:43:45.048922,new_page,1,treatment
73741,788784,2017-01-16 14:44:34.105469,new_page,1,treatment
243241,694039,2017-01-08 22:41:42.688351,new_page,1,treatment
15194,636409,2017-01-17 04:16:13.163593,new_page,1,treatment
27880,706748,2017-01-07 10:40:51.366928,new_page,1,treatment
113594,786858,2017-01-18 08:04:07.554255,new_page,1,treatment
16674,853191,2017-01-20 03:17:05.721122,new_page,1,treatment
277144,875190,2017-01-17 01:43:46.969650,new_page,1,treatment
152077,813332,2017-01-23 07:49:59.872947,new_page,1,treatment
142083,867364,2017-01-06 02:50:46.022041,new_page,1,treatment
207354,768978,2017-01-11 10:32:52.039414,new_page,1,treatment
285110,658398,2017-01-21 04:08:30.166654,new_page,1,treatment
272037,913409,2017-01-15 20:51:49.128090,new_page,1,treatment
162002,663615,2017-01-19 12:17:05.274589,new_page,1,treatment
171244,815579,2017-01-19 08:50:39.664932,new_page,1,treatment
30435,931652,2017-01-04 14:08:35.367935,new_page,1,treatment
212900,882024,2017-01-23 23:59:02.388651,new_page,1,treatment
139973,864945,2017-01-14 00:39:07.550429,new_page,1,treatment
111400,861994,2017-01-06 22:56:35.126623,new_page,1,treatment
78258,836441,2017-01-07 05:08:50.613895,new_page,1,treatment
119656,904499,2017-01-10 15:15:37.284221,new_page,1,treatment
271317,928798,2017-01-09 15:20:42.153233,new_page,1,treatment
21737,789262,2017-01-04 20:38:37.388952,new_page,1,treatment
266858,702114,2017-01-22 17:02:47.810301,new_page,1,treatment
33424,797568,2017-01-10 19:43:04.724353,new_page,1,treatment
